timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.68634E+12,98,HTTP Request-0,301,Moved Permanently,BLC 1-4,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,98,0,48
1.68634E+12,15768,HTTP Request-1,200,OK,BLC 1-4,text,TRUE,,177599,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2486,0,145
1.68634E+12,15745,HTTP Request,200,OK,BLC 1-20,text,TRUE,,177931,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,98,0,49
1.68634E+12,98,HTTP Request-0,301,Moved Permanently,BLC 1-20,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,98,0,49
1.68634E+12,15647,HTTP Request-1,200,OK,BLC 1-20,text,TRUE,,177582,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2199,0,155
1.68634E+12,15592,HTTP Request,200,OK,BLC 1-36,text,TRUE,,177925,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,93,0,46
1.68634E+12,93,HTTP Request-0,301,Moved Permanently,BLC 1-36,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,93,0,46
1.68634E+12,15498,HTTP Request-1,200,OK,BLC 1-36,text,TRUE,,177576,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2255,0,151
1.68634E+12,15890,HTTP Request,200,OK,BLC 1-8,text,TRUE,,177933,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,102,0,53
1.68634E+12,102,HTTP Request-0,301,Moved Permanently,BLC 1-8,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,102,0,53
1.68634E+12,15788,HTTP Request-1,200,OK,BLC 1-8,text,TRUE,,177584,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2417,0,151
1.68634E+12,15976,HTTP Request,200,OK,BLC 1-2,text,TRUE,,177955,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,108,0,57
1.68634E+12,108,HTTP Request-0,301,Moved Permanently,BLC 1-2,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,108,0,57
1.68634E+12,15868,HTTP Request-1,200,OK,BLC 1-2,text,TRUE,,177606,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,2343,0,162
1.68634E+12,15397,HTTP Request,200,OK,BLC 1-70,text,TRUE,,177917,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,97,0,49
1.68634E+12,97,HTTP Request-0,301,Moved Permanently,BLC 1-70,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,97,0,49
1.68634E+12,15299,HTTP Request-1,200,OK,BLC 1-70,text,TRUE,,177568,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1653,0,174
1.68634E+12,15294,HTTP Request,200,OK,BLC 1-82,text,TRUE,,177948,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,103,0,49
1.68634E+12,103,HTTP Request-0,301,Moved Permanently,BLC 1-82,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,103,0,49
1.68634E+12,15191,HTTP Request-1,200,OK,BLC 1-82,text,TRUE,,177599,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1917,0,145
1.68634E+12,15731,HTTP Request,200,OK,BLC 1-38,text,TRUE,,177939,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,91,0,45
1.68634E+12,91,HTTP Request-0,301,Moved Permanently,BLC 1-38,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,91,0,45
1.68634E+12,15639,HTTP Request-1,200,OK,BLC 1-38,text,TRUE,,177590,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1953,0,162
1.68634E+12,15153,HTTP Request,200,OK,BLC 1-99,text,TRUE,,177939,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,101,0,49
1.68634E+12,101,HTTP Request-0,301,Moved Permanently,BLC 1-99,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,101,0,49
1.68634E+12,15051,HTTP Request-1,200,OK,BLC 1-99,text,TRUE,,177590,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1374,0,183
